pdv,CouponDiscountAmt,CouponDiscountAmt_LAG_1,CouponDiscountAmt_LAG_2,CouponDiscountAmt_LAG_3,CouponDiscountAmt_LAG_4,CouponDiscountAmt_LAG_5,CouponDiscountAmt^2,CouponDiscountAmt_LAG_1_POLY_2,CouponDiscountAmt_LAG_2_POLY_2,CouponDiscountAmt_LAG_3_POLY_2,CouponDiscountAmt_LAG_4_POLY_2,CouponDiscountAmt_LAG_5_POLY_2
01071,-1.6416606383259015e-28,-1.0058542313649184e-30,-2.0925140102709972e-30,-1.4010982496550873e-30,5.294795594733647e-31,8.343651214946265e-31,1.1602724505780906e-31,3.6872402552912977e-32,2.4964196574772304e-33,4.2884230029099436e-33,3.8264877658154324e-33,1.4059436151542993e-33
01076,1.4852302844230167e-29,1.4883175882834225e-30,5.941684117751756e-31,5.03188928669437e-32,-8.206651274620842e-32,-4.963787874550461e-32,-1.501262804769365e-32,-1.9361998018456333e-32,-4.899992097477954e-34,1.922065236567959e-33,-2.3513430118013414e-35,-1.7552805489608087e-33
01091,6.508881871719121e-28,1.1841591683690073e-30,1.819806481084683e-31,-6.805079721724431e-31,-2.049357711749677e-31,-1.3499415740698596e-31,7.531711236364937e-32,-4.761147863985451e-33,2.946878154584384e-34,-3.4136081134300696e-34,-8.77665047456327e-34,1.2595791195319904e-33
01174,1.438821395568391e-29,1.5583681772490691e-31,1.872642628314726e-32,-1.9803058422950382e-32,-5.342041945733633e-34,6.522257075545248e-32,-3.223200331447987e-32,-3.2831744493673524e-32,-1.402605276510016e-33,2.821183549824288e-34,1.4469232191899398e-33,-2.0010604104005484e-34
01227,1.4233337432153406e-32,-3.6491349244447415e-32,6.90964823991736e-33,4.507784673404222e-33,-4.2052933438926495e-33,-2.40913284423874e-33,-1.1720951373563539e-33,5.063639394656031e-34,7.802554618252013e-35,-1.603264460875427e-34,-9.865035610206801e-35,-3.2744396117458157e-34
01235,-6.706065733436449e-30,3.962972494633227e-31,-3.9916016313125856e-33,-4.2097876510303394e-32,5.458774636108089e-34,-8.863020029926252e-33,1.2254581396463719e-33,1.7281320333560335e-33,-1.422893104158945e-33,-3.672228420226979e-33,-4.194732842115962e-34,-4.103017141604298e-34
01306,-2.0766759288886474e-30,6.834237108104637e-32,-2.6977037639168437e-31,-1.273025551144882e-31,1.3495053991243454e-32,2.3601549521173485e-32,6.769520717968973e-33,-1.728232978894326e-33,2.2243867948214165e-34,3.0321641801054306e-35,-1.4466435495529517e-34,-8.292839055114385e-36
01375,-1.753536942285482e-29,-2.3942217840071316e-31,5.883147616826675e-34,-1.6498748186071833e-32,3.718497459977882e-32,2.558150300009916e-32,1.1528876805335452e-32,-7.071590552281914e-33,1.5407036699155228e-33,-2.0918482666792212e-33,-5.240241647628653e-34,-7.010807296465125e-34
01391,-7.6473071078059e-30,8.605282649355647e-32,9.362796901234471e-32,-2.6952425922802885e-31,3.4463244571261844e-32,-6.26031588445931e-32,-1.3667025355756102e-31,2.566568421068016e-33,8.807333627235364e-34,1.1846037258745093e-33,2.91652353412835e-34,1.858879948319614e-33
01412,9.519150737898914e-30,2.1215443852272726e-30,-4.670331600684385e-31,6.0636812738052534e-31,1.788880122241769e-31,-1.7578213178353314e-31,2.2213033333359184e-32,2.096947639381332e-31,-5.271960010732754e-33,-7.817794106777202e-34,-5.485094927893767e-34,-7.724811831156709e-36
